company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Camping World Holdings,475,21.0,6913.8,278.5,12834.0,Retailing,Lincolnshire,IL,no,no,no,yes,496.0,Marcus A. Lemonis,https://www.campingworld.com,CWH,2664.6
Ingredion,476,-13.0,6894.0,117.0,12000.0,"Food, Beverages & Tobacco",Westchester,IL,no,no,no,yes,463.0,James P. Zallie,https://www.ingredion.com,INGR,5814.2
Veritiv,477,-38.0,6850.5,144.6,6100.0,Wholesalers,Atlanta,GA,no,no,no,yes,439.0,Salvatore A. Abbate,https://www.veritivcorp.com,VRTV,2008
Beacon Roofing Supply,478,-58.0,6820.4,243.0,6676.0,Wholesalers,Herndon,VA,no,no,no,yes,420.0,Julian G. Francis,https://www.becn.com,BECN,4175.9
Diamondback Energy,479,0.0,6797.0,2182.0,870.0,Energy,Midland,TX,yes,no,no,yes, ,Travis D. Stice,https://www.diamondbackenergy.com,FANG,24320
Victoria's Secret,480,0.0,6784.6,646.4,24000.0,Retailing,Reynoldsburg,OH,yes,no,no,yes, ,Martin P. Waters,https://www.victoriassecretandco.com,VSCO,4330.4
Academy Sports and Outdoors,481,-6.0,6773.1,671.4,16508.0,Retailing,Katy,TX,no,no,no,yes,475.0,Ken C. Hicks,https://www.academy.com,ASO,3433.5
Sanmina,482,-64.0,6756.6,269.0,33500.0,Technology,San Jose,CA,no,yes,no,yes,418.0,Jure Sola,https://www.sanmina.com,SANM,2569
ON Semiconductor,483,0.0,6739.8,1009.6,31650.0,Technology,Phoenix,AZ,yes,no,no,yes, ,Hassane S. El-Khoury,https://www.onsemi.com,ON,27078.7
Commercial Metals,484,8.0,6729.8,412.9,11089.0,Materials,Irving,TX,no,no,yes,yes,492.0,Barbara R. Smith,https://www.cmc.com,CMC,5056.7
EnLink Midstream,485,0.0,6685.9,22.4,1073.0,Energy,Dallas,TX,yes,no,no,yes, ,Jesse Arenivas,https://www.enlink.com,ENLC,4670.6
Southwestern Energy,486,0.0,6667.0,-25.0,938.0,Energy,Spring,TX,yes,no,no,no, ,William J. Way,https://www.swn.com,SWN,7989.7
Equinix,487,-26.0,6635.5,500.2,10944.0,Financials,Redwood City,CA,no,no,no,yes,461.0,Charles J. Meyers,https://www.equinix.com,EQIX,67280.5
Dillard&#8217;s,488,0.0,6624.3,862.5,25350.0,Retailing,Little Rock,AR,yes,no,no,yes, ,William T. Dillard II,https://www.dillards.com,DDS,4928.2
Regions Financial,489,-55.0,6605.0,2521.0,19626.0,Financials,Birmingham,AL,no,no,no,yes,434.0,John M. Turner Jr.,https://www.regions.com,RF,20860.9
Yum Brands,490,-12.0,6584.0,1575.0,25650.0,"Hotels, Restaurants & Leisure",Louisville,KY,no,no,no,yes,478.0,David W. Gibbs,https://www.yum.com,YUM,34252.9
Landstar System,491,0.0,6540.4,381.5,1399.0,Transportation,Jacksonville,FL,yes,no,no,yes, ,James B. Gattoni,https://www.landstar.com,LSTR,5600
CF Industries Holdings,492,0.0,6538.3,917.1,3003.0,Chemicals,Deerfield,IL,yes,no,no,yes, ,W. Anthony Will,https://www.cfindustries.com,CF,21551.3
Northern Trust,493,-50.0,6488.3,1545.3,21100.0,Financials,Chicago,IL,no,no,no,yes,443.0,Michael G. O&#039;Grady,https://www.northerntrust.com,NTRS,24215.1
Robert Half International,494,0.0,6461.4,598.6,14600.0,Business Services,Menlo Park,CA,yes,no,no,yes, ,M. Keith Waddell,https://www.roberthalf.com,RHI,12638.1
Compass,495,0.0,6421.0,-494.1,4775.0,Technology,New York,NY,yes,yes,no,no, ,Robert L. Reffkin,https://www.compass.com,COMP,3358.8
Hasbro,496,-2.0,6420.4,428.7,6640.0,Household Products,Pawtucket,RI,no,no,no,yes,494.0,Christian Cocks,https://www.hasbro.com,HAS,11383.6
